,ID,Name,Gender,Birthday,Place of Birth
85,1776,Francis Ford Coppola,Male,1939-04-07,"Detroit, Michigan, USA"
86,97202,Kenji Mizoguchi,Male,1898-05-16,"Asakusa, Tokyo, Japan"
87,4415,Federico Fellini,Male,1920-01-20,"Rimini, Emilia-Romagna, Italy"
88,18898,Rob Minkoff,Male,1962-08-11,"Palo Alto, California, U.S."
89,15812,Roger Allers,Male,1949-06-29,"Rye, New York, USA"
90,240,Stanley Kubrick,Male,1928-07-26,"Manhattan, New York, USA"
91,525,Christopher Nolan,Male,1970-07-30,"London, England, UK"
92,9032,Bryan Singer,Male,1965-09-17,"New York City, New York, USA"
93,11572,Carl Theodor Dreyer,Male,1889-02-03,"Copenhagen, Denmark"
94,1,George Lucas,Male,1944-05-14,"Modesto, California, USA"
95,10601,Joseph L. Mankiewicz,Male,1909-02-11,"Wilkes-Barre, Pennsylvania, USA"
96,54472,Martin McDonagh,Male,1970-03-26,"Camberwell, London, England, UK"
97,12329,Vittorio De Sica,Male,1901-07-07,"Sora, Frosinone, Lazio, Italy"
98,3146,Billy Wilder,Male,1906-06-22,"Sucha, Galicia, Austria-Hungary"
99,240,Stanley Kubrick,Male,1928-07-26,"Manhattan, New York, USA"
100,3146,Billy Wilder,Male,1906-06-22,"Sucha, Galicia, Austria-Hungary"
101,6648,Ingmar Bergman,Male,1918-07-14,"Uppsala, Uppsala län, Sweden"
102,8635,Buster Keaton,Male,1895-10-04,"Piqua, Kansas, USA"
103,12329,Vittorio De Sica,Male,1901-07-07,"Sora, Frosinone, Lazio, Italy"
104,628,Isao Takahata,Male,1935-10-29,"Ujiyamada, Mie prefecture, Japan"
105,37846,Emeric Pressburger,Male,1902-12-05,"Miskolc, Hungary"
106,68424,Michael Powell,Male,1905-09-30,"Bekesbourne, Kent, England"
107,138,Quentin Tarantino,Male,1963-03-27,"Knoxville, Tennessee, USA"
108,96676,Tomm Moore,Male,1977-01-07,"Newry, Northern Ireland"
109,40333,Satoshi Kon,Male,1963-10-12,"Kushiro, Hokkaidō, Japan"
110,1032,Martin Scorsese,Male,1942-11-17,"Queens, New York, USA"
111,1173102,Garth Davis,Male,1974-01-01,Australia
112,115174,Daniel Ribeiro,Male,1982-05-20,"San Paolo, San Paolo, Brasile"
113,240,Stanley Kubrick,Male,1928-07-26,"Manhattan, New York, USA"
114,2746,Elia Kazan,Male,1909-09-07,"Constantinople, Ottoman Empire"
115,68,Fritz Lang,Male,1890-12-05,"Vienna, Austria-Hungary"
116,525,Christopher Nolan,Male,1970-07-30,"London, England, UK"
117,5026,Akira Kurosawa,Male,1910-03-23,"Shinagawa, Tóquio, Japão"
118,18392,Robert Aldrich,Male,1918-08-09,"Cranston, Rhode Island, USA"
119,6648,Ingmar Bergman,Male,1918-07-14,"Uppsala, Uppsala län, Sweden"
120,608,Hayao Miyazaki,Male,1941-01-05,Tokyo
121,10517,Clyde Bruckman,Male,1894-06-30,"San Bernardino, California, USA"
122,8635,Buster Keaton,Male,1895-10-04,"Piqua, Kansas, USA"
123,83281,Lenny Abrahamson,Male,1966-11-30,"Dublin, Ireland"
124,793,Luis Buñuel,Male,1900-02-22,"Calanda, Teruel, Aragón, España"
125,13848,Charlie Chaplin,Male,1889-04-16,"Walworth, London, England, UK"
126,66121,"George Tillman, Jr.",Male,1969-01-26,"Milwaukee, Wisconsin, USA"
127,13294,Gene Kelly,Male,1912-08-23,"Pittsburgh, Pennsylvania, USA"
128,13284,Stanley Donen,Male,1924-04-13,"Columbia, South Carolina, USA"
129,4109,Michael Curtiz,Male,1886-12-24,"Budapest, Austria-Hungary [now Hungary]"
130,8,Lee Unkrich,Male,1967-08-08,"Cleveland, Ohio, USA"
131,4415,Federico Fellini,Male,1920-01-20,"Rimini, Emilia-Romagna, Italy"
132,1032,Martin Scorsese,Male,1942-11-17,"Queens, New York, USA"
133,1150,Brian De Palma,Male,1940-09-11,"Newark, New Jersey, USA"
134,20640,Chen Kaige,Male,1952-08-12,"Beijing, China"
135,55789,Tate Taylor,Male,1969-06-03,"Jackson, Mississippi USA"
136,138,Quentin Tarantino,Male,1963-03-27,"Knoxville, Tennessee, USA"
137,578,Ridley Scott,Male,1937-11-30,"South Shields, County Durham, England, UK"
138,40,Orson Welles,Male,1915-05-06,"Kenosha, Wisconsin, USA"
139,11218,Alfonso Cuarón,Male,1961-11-28,"Mexico City, Mexico"
140,1650,François Truffaut,Male,1932-02-06,"Paris, France"
141,4610,John Landis,Male,1950-08-03,"Chicago, Illinois, USA"
142,4762,Paul Thomas Anderson,Male,1970-06-26,"Studio City, California, USA"
143,77965,Morten Tyldum,Male,1967-05-19,"Bergen, Norvegia"
144,15378,Carol Reed,Male,1906-12-30,"Putney, London, England, UK"
145,21684,Bong Joon-ho,Male,1969-09-14,"Daegu, South Korea"
146,240,Stanley Kubrick,Male,1928-07-26,"Manhattan, New York, USA"
147,5026,Akira Kurosawa,Male,1910-03-23,"Shinagawa, Tóquio, Japão"
148,488,Steven Spielberg,Male,1946-12-18,Cincinnati - Ohio - USA
149,12453,Wong Kar-wai,Male,1956-07-17,"Shanghai, China"
150,6593,John Huston,Male,1906-08-05,"Nevada, Missouri, USA"
151,108536,Lee Hae-jun,Male,1973-08-18,"Seoul, South Korea"
152,1032,Martin Scorsese,Male,1942-11-17,"Queens, New York, USA"
153,11343,David Yates,Male,1963-11-30,"St. Helens, Merseyside, England, UK"
154,31894,Ettore Scola,Male,1931-05-10,Trevico - Campania - Italy
155,9340,Lana Wachowski,Female,1965-06-21,"Chicago, Illinois, USA"
156,9339,Lilly Wachowski,Female,1967-12-29,"Chicago, Illinois, United States"
157,201,Michel Gondry,Male,1963-05-08,"Versailles, France"
158,5026,Akira Kurosawa,Male,1910-03-23,"Shinagawa, Tóquio, Japão"
159,13848,Charlie Chaplin,Male,1889-04-16,"Walworth, London, England, UK"
160,5026,Akira Kurosawa,Male,1910-03-23,"Shinagawa, Tóquio, Japão"
161,9956,Chris Marker,Male,1921-07-29,"Neuilly-sur-Seine, Hauts-de-Seine, Île-de-France, France"
162,8193,Florian Henckel von Donnersmarck,Male,1973-05-02,"Cologne, Germany"
163,8482,Robert Mulligan,Male,1925-08-23,"The Bronx, New York City, New York,"
164,4410,Roberto Rossellini,Male,1906-05-08,"Rome, Italy"
165,5216,Gus Van Sant,Male,1952-07-24,"Louisville, Kentucky, USA"
166,9577,George Roy Hill,Male,1921-12-20,"New York City, New York, USA"
167,2559,Henri-Georges Clouzot,Male,1907-11-20,"Niort, Deux-Sèvres, Poitou-Charentes, France"
168,2461,Mel Gibson,Male,1956-01-03,"Peekskill, New York, USA"
169,5231,Wolfgang Petersen,Male,1941-03-14,"Emden, Germany"
170,578,Ridley Scott,Male,1937-11-30,"South Shields, County Durham, England, UK"
171,2303,Wim Wenders,Male,1945-08-14,"Düsseldorf, North Rhine-Westphalia, Germany"
172,137427,Denis Villeneuve,Male,1967-10-03,Trois-Rivières - Québec - Canada
173,8452,Andrei Tarkovsky,Male,1932-04-04,Yuryevetsky District
174,4453,Thomas Vinterberg,Male,1969-05-19,"Frederiksberg, Denmark"
175,1126,Krzysztof Kieślowski,Male,1941-06-27,"Warsaw, Mazowieckie, Poland."
176,10346,Robert Bresson,Male,1901-09-25,"Bromont-Lamothe, Puy-de-Dôme, Auvergne, France"
177,510,Tim Burton,Male,1958-08-25,"Burbank, California, USA"
178,240,Stanley Kubrick,Male,1928-07-26,"Manhattan, New York, USA"
179,4081,Stanley Kramer,Male,1913-09-29,"Brooklyn, New York, United States"
180,5655,Wes Anderson,Male,1969-05-01,"Houston, Texas, USA"
181,12453,Wong Kar-wai,Male,1956-07-17,"Shanghai, China"
182,8452,Andrei Tarkovsky,Male,1932-04-04,Yuryevetsky District
183,5602,David Lynch,Male,1946-01-20,"Missoula, Montana, USA"
184,6431,Darren Aronofsky,Male,1969-02-12,"Brooklyn, New York, USA"
185,2636,Alfred Hitchcock,Male,1899-08-13,Leytonstone - London - England
186,81718,Mamoru Hosoda,Male,1967-09-19,"Nakaniikawa District, Toyama, Japan"
187,109314,Don Hertzfeldt,Male,1976-08-01,"Fremont, California, USA"
188,52576,José Padilha,Male,1967-08-01,"Rio de Janeiro, Rio de Janeiro, Brazil"
189,39,Sam Mendes,Male,1965-08-01,"Reading, Berkshire, England, UK"
190,14606,Albert Dupontel,Male,1964-01-11,"Saint-Germain-en-Laye, Yvelines, France"
191,2690,Peter Weir,Male,1944-08-21,"Sydney, New South Wales, Australia"
192,11523,Georges Méliès,Male,1861-12-08,"Paris, France"
193,2636,Alfred Hitchcock,Male,1899-08-13,Leytonstone - London - England
194,4415,Federico Fellini,Male,1920-01-20,"Rimini, Emilia-Romagna, Italy"
195,3776,Jean-Luc Godard,Male,1930-12-03,"Paris, France"
196,9168,Alan Parker,Male,1944-02-14,"Islington, London, England, UK"
197,10921,Charles Laughton,Male,1899-07-01,"Scarborough, North Riding of Yorkshire, England, UK"
198,2406,Mathieu Kassovitz,Male,1967-08-03,"Paris, France"
199,3974,Miloš Forman,Male,1932-02-18,"Čáslav, Československo"
200,9076,F.W. Murnau,Male,1888-12-28,"Bielefeld, North-Rhine-Westphalia, Germany"
201,12114,Michael Cimino,Male,1939-02-03,"New York City, New York, USA"
202,45117,John Carney,Male,1972-01-01,"Dublin, Ireland"
203,137427,Denis Villeneuve,Male,1967-10-03,Trois-Rivières - Québec - Canada
204,550280,Anna Muylaert,Female,1964-04-21,"San Paolo, San Paolo, Brasile"
205,120025,Giacomo Poretti,Male,1956-04-26,"Villa Cortese, Italy"
206,120020,Giovanni Storti,Male,1957-02-20,"Milano, Italy"
207,120019,Aldo Baglio,Male,1958-09-28,"Palermo, Italy"
208,138,Quentin Tarantino,Male,1963-03-27,"Knoxville, Tennessee, USA"
209,8574,Walter Salles,Male,1956-04-12,"Rio de Janeiro, Rio de Janeiro, Brazil"
210,90694,Gillo Pontecorvo,Male,1919-11-19,"Pisa, Italy"
211,5342,Mike Nichols,Male,1931-11-06,"Berlin, Germany"
212,3831,Jean-Pierre Melville,Male,1917-10-20,"Paris, France"
213,12238,David Lean,Male,1908-03-25,"Croydon, Surrey, England, UK"
214,14227,Jules Dassin,Male,1911-12-18,"Middletown, Connecticut, USA"
215,13265,Franklin J. Schaffner,Male,1920-05-30,"Tokyo, Japan"
216,19800,Richard Marquand,Male,1937-09-22,"Cardiff, Wales, UK"
217,2662,Frank Capra,Male,1897-05-18,"Bisacquino, Sicilia, Italia"
218,1128442,Deniz Gamze Ergüven,Female,1978-06-04,"Ankara, Turchia"
219,3146,Billy Wilder,Male,1906-06-22,"Sucha, Galicia, Austria-Hungary"
220,52779,Ryan Murphy,Male,1965-11-30,"Indianapolis, Indiana, USA"
221,5306,Lasse Hallström,Male,1946-06-02,"Stockholm, Sweden"
222,17387,Robin Campillo,Male,1962-08-16,"Mohammedia, Morocco"
223,2636,Alfred Hitchcock,Male,1899-08-13,Leytonstone - London - England
224,4385,Sergio Leone,Male,1929-01-03,"Rome, Italy"
225,2559,Henri-Georges Clouzot,Male,1907-11-20,"Niort, Deux-Sèvres, Poitou-Charentes, France"
226,12890,Pete Docter,Male,1968-10-09,"Bloomington, Minnesota, USA"
227,7,Andrew Stanton,Male,1965-12-03,"Boston, Massachusetts, USA"
228,52763,Aamir Khan,Male,1965-03-14,"Mumbai, Maharashtra, India"
229,11154,Matt Ross,Male,1970-01-03,Greenwich - Connecticut - USA
230,607,Zhang Yimou,Male,1951-11-14,"Xi'an, Shaanxi, China"
231,25645,Hirokazu Kore-eda,Male,1962-06-06,"Tokyo, Japan"
232,11770,John Carpenter,Male,1948-01-16,"Carthage, New York, USA"
233,240,Stanley Kubrick,Male,1928-07-26,"Manhattan, New York, USA"
234,6648,Ingmar Bergman,Male,1918-07-14,"Uppsala, Uppsala län, Sweden"
235,2034,Danny Boyle,Male,1956-10-20,"Manchester, England, UK"
236,69371,Jean-Marc Vallée,Male,1963-03-09,"Montreal, Quebec, Canada"
237,3831,Jean-Pierre Melville,Male,1917-10-20,"Paris, France"
238,1032,Martin Scorsese,Male,1942-11-17,"Queens, New York, USA"
239,608,Hayao Miyazaki,Male,1941-01-05,Tokyo
240,39996,Sidney Lumet,Male,1924-06-25,"Philadelphia, Pennsylvania, USA"
241,13848,Charlie Chaplin,Male,1889-04-16,"Walworth, London, England, UK"
242,8500,John Ford,Male,1894-02-01,"Cape Elizabeth, Maine, USA"
243,5026,Akira Kurosawa,Male,1910-03-23,"Shinagawa, Tóquio, Japão"
244,1032,Martin Scorsese,Male,1942-11-17,"Queens, New York, USA"
245,107490,Jaco Van Dormael,Male,1957-02-09,"Ixelles, Brabant, Belgium"
246,14520,John Sturges,Male,1910-01-03,"Oak Park, Illinois, USA"
247,72757,Steve McQueen,Male,1969-10-09,"London, England, UK"
248,76998,James Marsh,Male,1963-04-30,"Truro, Cornwall, England, UK"
249,956,Guy Ritchie,Male,1968-09-10,"Hatfield, Hertfordshire, England, UK"
250,52968,Russell Mulcahy,Male,1953-06-23,"Melbourne, Victoria, Australia"
251,40333,Satoshi Kon,Male,1963-10-12,"Kushiro, Hokkaidō, Japan"
252,25735,Christian Duguay,Male,1957-01-01,"Outremont, Québec, Canada"
253,578,Ridley Scott,Male,1937-11-30,"South Shields, County Durham, England, UK"
254,28898,Michael Radford,Male,1946-02-24,"New Delhi, India"
255,4415,Federico Fellini,Male,1920-01-20,"Rimini, Emilia-Romagna, Italy"
256,8452,Andrei Tarkovsky,Male,1932-04-04,Yuryevetsky District
257,84714,Juan José Campanella,Male,1959-07-19,"Buenos Aires, Argentina"
258,96677,Nora Twomey,Female,1971-10-31,"Cork City, Ireland"
259,3556,Roman Polański,Male,1933-08-18,"Paris, France"
260,834,Otto Preminger,Male,1906-12-05,"Wiznitz, Bukovina, Austria-Hungary"
261,190,Clint Eastwood,Male,1930-05-31,"San Francisco, California, USA"
262,225160,Paolo Genovese,Male,1966-08-20,"Rome, Italy"
263,185,Katsuhiro Otomo,Male,1954-04-14,"Miyagi Prefecture, Japan"
264,87742,Marc Webb,Male,1974-08-31,"Bloomington, Indiana, USA"
265,110695,Majid Majidi,Male,1959-04-17,"Tehran, Iran"
266,138,Quentin Tarantino,Male,1963-03-27,"Knoxville, Tennessee, USA"
267,1032,Martin Scorsese,Male,1942-11-17,"Queens, New York, USA"
268,190,Clint Eastwood,Male,1930-05-31,"San Francisco, California, USA"
269,12180,Mamoru Oshii,Male,1951-08-08,"Tokyo Prefecture, Japan"
270,10001,William Wyler,Male,1902-07-01,"Mülhausen, Alsace, Germany [now Mulhouse, Haut-Rhin, France]"
271,2636,Alfred Hitchcock,Male,1899-08-13,Leytonstone - London - England
272,14639,Mel Brooks,Male,1926-06-28,"Brooklyn, New York, USA"
273,11218,Alfonso Cuarón,Male,1961-11-28,"Mexico City, Mexico"
274,138,Quentin Tarantino,Male,1963-03-27,"Knoxville, Tennessee, USA"
275,11983,Alain Resnais,Male,1922-06-03,"Vannes, Morbihan, Bretagne, France"
276,6648,Ingmar Bergman,Male,1918-07-14,"Uppsala, Uppsala län, Sweden"
277,15218,James Gunn,Male,1966-08-05,"St. Louis, Missouri, USA"
278,2419,Jean-Pierre Jeunet,Male,1953-09-03,"Roanne, Loire, France"
279,229931,Asghar Farhadi,Male,1972-05-07,"Homāyūnshahr, Isfahan,Iran"
280,95768,Kunio Katou,Male,1977-01-01,"Kagoshima Prefecture, Japan"
281,190,Clint Eastwood,Male,1930-05-31,"San Francisco, California, USA"
282,42,Lars von Trier,Male,1956-04-30,"Kongens Lyngby, Denmark"
283,11195,Gérard Oury,Male,1919-04-29,"Paris, France"
284,56198,Ari Folman,Male,1962-12-17,"Israel Haifa, Israel"
285,39012,Peter Bogdanovich,Male,1939-07-30,"Kingston, New York, USA"
286,1650,François Truffaut,Male,1932-02-06,"Paris, France"
287,7879,John Lasseter,Male,1957-01-12,"Hollywood, California, USA"
288,76936,Yojiro Takita,Male,1955-12-04,"Toyama, Japan"
289,2710,James Cameron,Male,1954-08-16,"Kapuskasing, Ontario, Canada"
290,20659,Marjane Satrapi,Female,1969-11-22,"Rasht, Iran"
291,4818,Roberto Benigni,Male,1952-10-27,"Manciano La Misericordia, Castiglion Fiorentino, Arezzo, Italia"
292,8452,Andrei Tarkovsky,Male,1932-04-04,Yuryevetsky District
293,7467,David Fincher,Male,1962-08-28,"Denver, Colorado, USA"
294,36588,Joe Wright,Male,1972-08-25,"London, England, UK"
295,2428,Ernst Lubitsch,Male,1892-01-28,"Berlin, Germany"
296,136495,Damien Chazelle,Male,1985-01-19,"Providence, Rhode Island, USA"
297,12890,Pete Docter,Male,1968-10-09,"Bloomington, Minnesota, USA"
298,4415,Federico Fellini,Male,1920-01-20,"Rimini, Emilia-Romagna, Italy"
299,12238,David Lean,Male,1908-03-25,"Croydon, Surrey, England, UK"
300,5763,Jacques Tati,Male,1907-10-09,"Le Pecq, Yvelines, France"
301,53334,Jim Sheridan,Male,1949-02-06,"Dublin, Ireland"
302,11435,Howard Hawks,Male,1896-05-30,"Goshen, Indiana, USA"
303,40333,Satoshi Kon,Male,1963-10-12,"Kushiro, Hokkaidō, Japan"
304,5655,Wes Anderson,Male,1969-05-01,"Houston, Texas, USA"
305,793,Luis Buñuel,Male,1900-02-22,"Calanda, Teruel, Aragón, España"
306,4955,Dario Argento,Male,1940-09-07,"Roma, Lazio, Italia"
307,3026,Rob Reiner,Male,1947-03-06,"The Bronx, New York, USA"
308,1223,Joel Coen,Male,1954-11-29,"St Louis Park, Minnesota, USA"
309,11266,James McTeigue,Male,1967-12-29,"Sydney, Australia"
310,488,Steven Spielberg,Male,1946-12-18,Cincinnati - Ohio - USA
311,9049,Victor Fleming,Male,1889-02-23,"La Cañada, California, USA"
312,11614,M. Night Shyamalan,Male,1970-08-06,"Mahé, Puducherry, India"
313,2636,Alfred Hitchcock,Male,1899-08-13,Leytonstone - London - England
314,1224,Ethan Coen,Male,1957-09-21,"Minneapolis, Minnesota, USA"
315,1223,Joel Coen,Male,1954-11-29,"St Louis Park, Minnesota, USA"
316,2428,Ernst Lubitsch,Male,1892-01-28,"Berlin, Germany"
317,8823,Raoul Walsh,Male,1887-03-11,"New York City, New York, USA"
318,7018,Richard Curtis,Male,1956-11-08,New Zealand
319,5953,Spike Jonze,Male,1969-10-22,"Rockville, Maryland, USA"
320,20646,Gabriele Muccino,Male,1967-05-20,"Rome, Italy"
321,7930,Jan Pinkava,Male,1963-06-21,"Prague, Czechoslovakia"
322,2710,James Cameron,Male,1954-08-16,"Kapuskasing, Ontario, Canada"
323,2461,Mel Gibson,Male,1956-01-03,"Peekskill, New York, USA"
324,5026,Akira Kurosawa,Male,1910-03-23,"Shinagawa, Tóquio, Japão"
325,488,Steven Spielberg,Male,1946-12-18,Cincinnati - Ohio - USA
326,144476,Hiromasa Yonebayashi,Male,1973-07-10,"Ishikawa Prefecture, Japan"
327,66190,Tony Bancroft,Male,1967-01-01,California - USA
328,608,Hayao Miyazaki,Male,1941-01-05,Tokyo
329,65314,Giuseppe Tornatore,Male,1956-05-27,"Bagheria, Sicilia, Italia"
330,1243,Woody Allen,Male,1935-12-01,"The Bronx, New York City, New York, USA"
331,21198,Peter Sohn,Male,1975-06-21,"Bronx, New York, USA"
332,11151,Nick Cassavetes,Male,1959-05-21,"New York City, New York, USA"
333,10707,Terry Jones,Male,1942-02-01,"Colwyn Bay, Wales, UK"
334,280,Terry Gilliam,Male,1940-11-22,"Minneapolis, Minnesota, USA"
335,13776,John Frankenheimer,Male,1930-02-19,"New York City, New York, USA"
336,12238,David Lean,Male,1908-03-25,"Croydon, Surrey, England, UK"
337,2228,Sean Penn,Male,1960-08-17,"Santa Monica, California, USA"
338,2991,Robert Wiene,Male,1873-04-27,"Breslau, Silesia, Germany [now Wroclaw, Dolnoslaskie, Poland]"
339,6593,John Huston,Male,1906-08-05,"Nevada, Missouri, USA"
340,64210,Maïwenn,Female,1976-04-17,"Les Lilas, Seine-Saint-Denis, France"
341,1188,Kim Ki-duk,Male,1960-12-20,"Bonghwa, South Korea"
342,1223,Joel Coen,Male,1954-11-29,"St Louis Park, Minnesota, USA"
343,2662,Frank Capra,Male,1897-05-18,"Bisacquino, Sicilia, Italia"
344,68,Fritz Lang,Male,1890-12-05,"Vienna, Austria-Hungary"
345,1150,Brian De Palma,Male,1940-09-11,"Newark, New Jersey, USA"
346,2303,Wim Wenders,Male,1945-08-14,"Düsseldorf, North Rhine-Westphalia, Germany"
347,1650,François Truffaut,Male,1932-02-06,"Paris, France"
348,4385,Sergio Leone,Male,1929-01-03,"Rome, Italy"
349,488,Steven Spielberg,Male,1946-12-18,Cincinnati - Ohio - USA
350,13859,Stuart Rosenberg,Male,1927-08-11,"Brooklyn, New York City, New York, USA"
351,564,Richard Linklater,Male,1960-07-30,"Houston, Texas, USA"
352,18563,Georges Lautner,Male,1926-01-24,"Nice, Alpes-Maritimes, Provence-Alpes-Côte d'Azur, France"
353,14875,Robert Rossen,Male,1908-03-16,"New York City, New York, USA"
354,11505,John Hughes,Male,1950-02-18,"Lansing, Michigan, USA"
