ID,Name,Gender,Birthday,Place of Birth
61981,Michael Clarke Duncan,Male,1957-12-10,"Chicago, Illinois, USA"
52,David Morse,Male,1953-10-11,"Hamilton, Massachusetts, USA"
5149,Bonnie Hunt,Female,1961-09-22,"Chicago Lawn, Chicago, Illinois, USA"
2505,James Cromwell,Male,1940-01-27,"Los Angeles, California, USA"
4818,Roberto Benigni,Male,1952-10-27,"Manciano La Misericordia, Castiglion Fiorentino, Arezzo, Italia"
9235,Nicoletta Braschi,Female,1960-08-10,"Cesena, Forlì-Cesena, Emilia-Romagna, Italy"
9236,Giorgio Cantarini,Male,1992-12-05,"Orvieto, Terni, Umbria, Italy"
9237,Giustino Durano,Male,1923-05-05,"Brindisi, Italy"
6677,Kyle MacLachlan,Male,1959-02-22,Yakima - Washington - USA
6678,Michael Ontkean,Male,1946-01-24,"Vancouver, British Columbia, Canada"
6714,Mädchen Amick,Female,1970-12-12,"Sparks, Nevada, USA"
6715,Dana Ashbrook,Male,1967-05-24,"San Diego, California, USA"
6679,Richard Beymer,Male,1938-02-20,"Avoca, Iowa, USA"
8891,John Travolta,Male,1954-02-18,"Englewood, New Jersey, USA"
2231,Samuel L. Jackson,Male,1948-12-21,"Washington, D.C., USA"
139,Uma Thurman,Female,1970-04-29,"Boston, Massachusetts, USA"
62,Bruce Willis,Male,1955-03-19,"Idar-Oberstein, Germany"
10182,Ving Rhames,Male,1959-05-12,"New York City, New York, USA"
7301,Anthony Perkins,Male,1932-04-04,"New York City, New York, USA"
7302,Janet Leigh,Female,1927-07-06,"Merced, California, USA"
7303,Vera Miles,Female,1929-08-23,"Boise City, Oklahoma, USA"
7304,John Gavin,Male,1931-04-08,"Los Angeles, California, USA"
1936,Martin Balsam,Male,1919-11-04,"Bronx, New York, USA"
3894,Christian Bale,Male,1974-01-30,"Haverfordwest, Pembrokeshire, Wales, UK"
3895,Michael Caine,Male,1933-03-14,"Rotherhithe, London, England, UK"
1810,Heath Ledger,Male,1979-04-04,"Perth, Western Australia, Australia"
64,Gary Oldman,Male,1958-03-21,"New Cross, London, England, UK"
6383,Aaron Eckhart,Male,1968-03-12,"Cupertino, California, USA"
819,Edward Norton,Male,1969-08-18,"Boston, Massachusetts, USA"
287,Brad Pitt,Male,1963-12-18,"Shawnee, Oklahoma, USA"
1283,Helena Bonham Carter,Female,1966-05-26,"Golders Green, London, England, UK"
7470,Meat Loaf,Male,1947-09-27,"Dallas, Texas, USA"
7499,Jared Leto,Male,1971-12-26,"Bossier City, Louisiana, USA"
31,Tom Hanks,Male,1956-07-09,"Concord, California, USA"
32,Robin Wright,Female,1966-04-08,"Dallas, Texas, USA"
33,Gary Sinise,Male,1955-03-17,"Blue Island, Illinois, USA"
34,Mykelti Williamson,Male,1957-03-04,"Saint Louis, Missouri, USA"
35,Sally Field,Female,1946-11-06,"Pasadena, California, USA"
7450,Toshirō Mifune,Male,1920-04-01,"Tsingtao, China (now Qingdao, Shandong, China)"
7453,Takashi Shimura,Male,1905-03-12,"Ikuno, Hyogo, Japan"
20828,Yoshio Inaba,Male,1920-07-15,Japan
20829,Seiji Miyaguchi,Male,1913-11-15,Tokyo - Japan
7454,Minoru Chiaki,Male,1917-07-30,"Hokkaido, Japan (some sources say 28 April 1917)"
40325,Megumi Hayashibara,Female,1967-03-30,"Tokyo, Japan"
83768,Yuko Miyamura,Female,1972-12-04,"Kobe, Hyogo Prefecture, Japan"
4958,Henry Fonda,Male,1905-05-16,"Grand Island, Nebraska, USA"
1936,Martin Balsam,Male,1919-11-04,"Bronx, New York, USA"
5247,John Fiedler,Male,1925-02-03,"Platteville, Wisconsin, USA"
5248,Lee J. Cobb,Male,1911-12-08,"New York City, New York, USA"
5249,E.G. Marshall,Male,1914-06-18,"Owatonna, Minnesota, USA"
380,Robert De Niro,Male,1943-08-17,"Greenwich Village, New York City, New York, USA"
4512,James Woods,Male,1947-04-18,"Vernal, Utah, USA"
4513,Elizabeth McGovern,Female,1961-07-18,"Evanston, Illinois, USA"
4517,Joe Pesci,Male,1943-02-09,"Newark, New Jersey, USA"
4521,Burt Young,Male,1940-04-30,"New York City, New York, USA"
72413,Tsutomu Tatsumi,Male,1972-01-01,Japan
72414,Ayano Shiraishi,Female,1982-01-01,Japan
72415,Yoshiko Shinohara,Female,1948-09-10,"Osaka Prefecture, Japan"
72416,Akemi Yamaguchi,Female,1946-11-23,"Osaka Prefecture, Japan"
109,Elijah Wood,Male,1981-01-28,"Cedar Rapids, Iowa, USA"
1327,Ian McKellen,Male,1939-05-25,"Burnley, Lancashire, England, UK"
110,Viggo Mortensen,Male,1958-10-20,"Manhattan, New York City, New York, USA"
1328,Sean Astin,Male,1971-02-25,"Santa Monica, California, USA"
882,Liv Tyler,Female,1977-07-01,"New York City, New York, USA"
11477,Ray Liotta,Male,1954-12-18,"Newark, New Jersey, USA"
380,Robert De Niro,Male,1943-08-17,"Greenwich Village, New York City, New York, USA"
4517,Joe Pesci,Male,1943-02-09,"Newark, New Jersey, USA"
7004,Paul Sorvino,Male,1939-04-13,Brooklyn - New York City - New York - USA
110,Viggo Mortensen,Male,1958-10-20,"Manhattan, New York City, New York, USA"
932967,Mahershala Ali,Male,1974-02-16,"Oakland, California, USA"
1817,Linda Cardellini,Female,1975-06-25,"Redwood City, California, USA"
130129,Don Stark,Male,1954-06-05,"New York City, New York, USA"
514,Jack Nicholson,Male,1937-04-22,"Manhattan, New York, USA"
7071,Louise Fletcher,Female,1934-07-22,"Birmingham, Alabama, USA"
518,Danny DeVito,Male,1944-11-17,"Asbury Park, New Jersey, USA"
7072,William Redfield,Male,1927-01-26,"New York City, New York, USA"
7077,Scatman Crothers,Male,1910-05-23,"Terre Haute, Indiana, USA"
24366,Philippe Noiret,Male,1930-10-01,"Lille, Nord, France"
20030,Jacques Perrin,Male,1941-07-13,"Paris, France"
27643,Marco Leonardi,Male,1971-11-14,Australia
68635,Salvatore Cascio,Male,1979-11-08,"Palermo, Sicily, Italy"
120152,Agnese Nano,Female,1965-11-05,"Rome, Italy"
65717,Jon Hamm,Male,1971-03-10,"St. Louis, Missouri, USA"
28847,Rafe Spall,Male,1983-03-10,"East Dulwich, London, England, UK"
566331,Oona Chaplin,Female,1986-06-04,"Madrid, Spain"
3300,Natalia Tena,Female,1984-11-01,"London, England, UK"
90755,Janet Montgomery,Female,1985-10-29,"Bournemouth, Dorset, England, UK"
996701,Miles Teller,Male,1987-02-20,"Downingtown, Pennsylvania, USA"
18999,J.K. Simmons,Male,1955-01-09,"Detroit, Michigan, USA"
129104,Melissa Benoist,Female,1988-10-04,"Houston, Texas, USA"
13848,Charlie Chaplin,Male,1889-04-16,"Walworth, London, England, UK"
13852,Virginia Cherrill,Female,1908-04-12,"Carthage, Illinois"
13853,Florence Lee,Female,1888-03-12,"Vermont, United States"
13854,Harry Myers,Male,1882-09-05,"New Haven, Connecticut, USA"
190,Clint Eastwood,Male,1930-05-31,"San Francisco, California, USA"
3265,Eli Wallach,Male,1915-12-07,"Brooklyn, New York, USA"
4078,Lee Van Cleef,Male,1925-01-09,"Somerville, New Jersey, U.S."
5813,Aldo Giuffrè,Male,1924-04-10,Naples - Campania - Italy
5814,Luigi Pistilli,Male,1929-07-19,"Grosseto, Tuscany, Italy"
70131,Tatsuya Nakadai,Male,1932-12-13,"Tokyo, Japan"
76976,Shima Iwashita,Female,1941-01-03,"Tokyo, Japan"
76977,Akira Ishihama,Male,1935-01-29,"Tokyo, Japan"
20828,Yoshio Inaba,Male,1920-07-15,Japan
8252,William Holden,Male,1918-04-17,"O'Fallon, Illinois, USA"
8629,Gloria Swanson,Female,1899-03-27,"Chicago, Illinois, USA"
8630,Erich von Stroheim,Male,1885-09-22,"Vienna, Austria-Hungary [now Austria]"
8631,Nancy Olson,Female,1928-07-14,"Milwaukee, Wisconsin, USA"
8632,Fred Clark,Male,1914-03-19,"Lincoln, California, USA"
13848,Charlie Chaplin,Male,1889-04-16,"Walworth, London, England, UK"
14028,Jack Oakie,Male,1903-11-12,"Sedalia, Missouri, USA"
10924,Henry Daniell,Male,1894-03-05,"Barnes, Surrey, UK"
5464,Billy Gilbert,Male,1894-09-12,"Louisville, Kentucky, USA"
14276,Gian Maria Volonté,Male,1933-04-09,"Milan, Italy"
83259,Florinda Bolkan,Female,1941-02-15,"Uruburetama, Ceará, Brasil"
68406,Salvo Randone,Male,1906-09-25,"Siracusa, Italy"
8600,Matheus Nachtergaele,Male,1969-01-03,"São Paulo, São Paulo, Brazil"
87341,Selton Mello,Male,1972-12-30,"Passos, Minas Gerais, Brazil"
123763,Lima Duarte,Male,1930-03-29,"Sacramento, Minas Gerais, Brazil"
123757,Rogério Cardoso,Male,1937-03-07,"Mococa, São Paulo, Brazil"
123758,Denise Fraga,Female,1954-10-15,"Rio de Janeiro, Rio de Janeiro, Brazil"
136532,Matt Smith,Male,1982-10-28,"Northampton, Northamptonshire, England, UK"
20049,David Tennant,Male,1971-04-18,"Bathgate, West Lothian, Scotland, UK"
5049,John Hurt,Male,1940-01-22,"Shirebrook, Derbyshire, England, UK"
2040,Christopher Eccleston,Male,1964-02-16,"Salford, Lancashire, England, UK"
26076,Billie Piper,Female,1982-09-22,"Swindon, Wiltshire, England, UK"
819,Edward Norton,Male,1969-08-18,"Boston, Massachusetts, USA"
820,Edward Furlong,Male,1977-08-02,"Glendale, California, USA"
821,Beverly D'Angelo,Female,1951-11-15,"Columbus, Ohio, United States"
822,Avery Brooks,Male,1948-10-02,"Evansville, Indiana, USA"
823,Jennifer Lien,Female,1974-08-24,"Palos Heights, Illinois, USA"
533325,Chieko Baishô,Female,1941-06-29,"Tokyo, Japan"
12670,Takuya Kimura,Male,1972-11-13,"Chiba, Chiba Prefecture, Japan"
19592,Tatsuya Gashûin,Female,1950-12-10,"Tokyo, Japan"
225730,Ryunosuke Kamiki,Male,1993-05-19,"Saitama, Japan"
8595,Alexandre Rodrigues,Male,1983-01-01,"Rio de Janeiro, Rio de Janeiro, Brazil"
8597,Phellipe Haagensen,Male,1984-01-01,"Rio De Janeiro, Brazil"
8599,Jonathan Haagensen,Male,1983-02-23,"Rio de Janeiro, Rio de Janeiro, Brazil"
2,Mark Hamill,Male,1951-09-25,"Concord, California, USA"
3,Harrison Ford,Male,1942-07-13,"Chicago, Illinois, USA"
4,Carrie Fisher,Female,1956-10-21,"Beverly Hills, Los Angeles, California, USA"
3799,Billy Dee Williams,Male,1937-04-06,New York City - New York - USA
6,Anthony Daniels,Male,1946-02-21,"Salisbury, Wiltshire, England, UK"
20330,Yuriko Ishida,Female,1969-10-03,"Nagoya, Aichi Prefecture, Japan"
20331,Yūko Tanaka,Female,1955-04-29,"Ikeda, Osaka, Japan"
20333,Masahiko Nishimura,Male,1960-12-12,"Toyama, Japan"
34491,Luigi Lo Cascio,Male,1967-10-20,"Palermo, Italy"
44646,Alessio Boni,Male,1966-07-04,"Sarnico, Bergamo"
44110,Adriana Asti,Female,1933-04-30,"Milano, Italy"
32312,Ugo Tognazzi,Male,1922-03-23,"Cremona, Lombardy, Italy"
3281,Gastone Moschin,Male,1929-06-08,San Giovanni Lupatoto
24366,Philippe Noiret,Male,1930-10-01,"Lille, Nord, France"
9920,Adolfo Celi,Male,1922-07-27,"Messina, Sicily, Italy"
71580,Benedict Cumberbatch,Male,1976-07-19,"Hammersmith, London, England, UK"
7060,Martin Freeman,Male,1971-09-08,"Aldershot, Hampshire, England, UK"
34546,Mark Gatiss,Male,1966-10-17,"Sedgefield, Durham, England, UK"
125660,Andrew Scott,Male,1976-10-21,"Dublin, Ireland"
123664,Kim Min-hee,Female,1982-03-01,"Seoul, South Korea"
1537768,Kim Tae-ri,Female,1990-04-24,"Seoul, South Korea"
75913,Ha Jung-woo,Male,1979-03-11,"Seoul, South Korea"
138336,Cho Jin-woong,Male,1976-03-03,"Busan, South Korea"
7453,Takashi Shimura,Male,1905-03-12,"Ikuno, Hyogo, Japan"
34375,Haruo Tanaka,Male,1912-03-25,"Kyoto, Japan"
2090,Kirk Douglas,Male,1916-12-09,"Amsterdam, New York, USA"
14562,Ralph Meeker,Male,1920-11-21,"Minneapolis, Minnesota, United States"
14563,Adolphe Menjou,Male,1890-02-18,"Pittsburgh, Pennsylvania, USA"
14564,George Macready,Male,1899-08-29,"Providence Rhode Island, USA"
14565,Wayne Morris,Male,1914-02-17,"Los Angeles, California, USA"
2157,Robin Williams,Male,1951-07-21,Chicago - Illinois - USA
569,Ethan Hawke,Male,1970-11-06,"Austin, Texas, USA"
2692,Robert Sean Leonard,Male,1969-02-28,"Westwood, New Jersey, USA"
2694,Josh Charles,Male,1971-09-15,"Baltimore, Maryland, USA"
86612,Anne Dorval,Female,1960-11-08,"Rouyn-Noranda, Québec, Canada"
142689,Suzanne Clément,Female,1969-05-12,"Montreal, Quebec, Canada"
575662,Antoine-Olivier Pilon,Male,1997-06-23,"Montréal, Québec, Canada"
142995,Patrick Huard,Male,1969-01-02,"Montreal,Quebec,Canada"
33135,Chishū Ryū,Male,1904-05-13,"Kumamoto, Japan"
134307,Chieko Higashiyama,Female,1890-09-30,"Chiba, Japan"
95504,Setsuko Hara,Female,1920-06-17,"Yokohama, Kanagawa, Japan"
131013,Haruko Sugimura,Female,1909-01-06,"Hiroshima, Japan"
68411,Sô Yamamura,Male,1910-02-24,"Tenri, Japan"
10922,Tyrone Power,Male,1914-05-05,"Cincinnati, Ohio, U.S."
2896,Marlene Dietrich,Female,1901-12-27,"Schöneberg, Berlin, Germany"
10921,Charles Laughton,Male,1899-07-01,"Scarborough, North Riding of Yorkshire, England, UK"
2926,Elsa Lanchester,Female,1902-10-28,"Lewisham, London, England, UK"
5182,John Williams,Male,1903-04-15,"Chalfont, Buckinghamshire, England, UK"
1395660,Alessandro Borghi,Male,1986-01-01,"Rome, Latium, Italy"
128426,Max Tortora,Male,1963-01-21,"Rome, Italy"
69489,Jasmine Trinca,Female,1981-04-24,"Rome, Italy"
854,James Stewart,Male,1908-05-20,"Indiana, Pennsylvania, USA"
4070,Grace Kelly,Female,1929-11-12,Philadelphia - Pennsylvania - USA
7683,Wendell Corey,Male,1914-03-20,"Dracut, Massachusetts, USA"
7684,Thelma Ritter,Female,1905-02-14,"Brooklyn, New York, USA"
7685,Raymond Burr,Male,1917-05-21,"New Westminster, British Columbia, Canada"
1003,Jean Reno,Male,1948-07-30,"Casablanca, Morocco"
524,Natalie Portman,Female,1981-06-09,"Jerusalem, Israel"
64,Gary Oldman,Male,1958-03-21,"New Cross, London, England, UK"
1004,Danny Aiello,Male,1933-06-20,"New York City, New York, USA"
1005,Peter Appel,Male,1959-10-19,"New York City, New York, USA"
1190668,Timothée Chalamet,Male,1995-12-27,"Manhattan, New York City, New York, USA"
53807,Armie Hammer,Male,1986-08-28,"Los Angeles, California, USA"
72873,Michael Stuhlbarg,Male,1968-07-05,"Long Beach, California, USA"
20577,Amira Casar,Female,1971-05-01,"London, England"
935096,Esther Garrel,Female,1991-02-18,"Parigi, Francia"
3129,Tim Roth,Male,1961-05-14,"London, England, UK"
3201,Pruitt Taylor Vince,Male,1960-07-05,"Baton Rouge, Louisiana, USA"
59373,Mélanie Thierry,Female,1981-07-17,"St Germain en Laye, France"
5502,Bill Nunn,Male,1953-10-20,"Pittsburgh, Pennsylvania, U.S."
80503,Gabriele Lavia,Male,1942-10-10,Milan
12259,Vittorio Gassman,Male,1922-09-01,"Genoa, Liguria, Italy"
70119,Catherine Spaak,Female,1945-04-03,"Boulogne-Billancourt, Hauts-de-Seine, France"
1352,Jean-Louis Trintignant,Male,1930-12-11,"Piolenc, Vaucluse, France"
32677,Claudio Gora,Male,1913-07-27,"Genoa, Liguria, Italy"
13848,Charlie Chaplin,Male,1889-04-16,"Walworth, London, England, UK"
14027,Paulette Goddard,Female,1910-06-03,"Whitestone Landing, Long Island, New York, USA"
14438,Henry Bergman,Male,1868-02-23,"San Francisco, California, USA"
30194,Tiny Sandford,Male,1894-02-26,"Osage, Iowa, USA"
30195,Chester Conklin,Male,1886-01-11,"Oskaloosa, Iowa, USA"
230680,Douglas Booth,Male,1992-07-09,"Greenwich, London, England, UK"
195930,Jerome Flynn,Male,1963-03-16,"Bromley, Kent, England, UK"
36592,Saoirse Ronan,Female,1994-04-12,"The Bronx, New York, USA"
15737,Helen McCrory,Female,1968-08-17,"London, England, UK"
3490,Adrien Brody,Male,1973-04-14,"New York City, New York, USA"
3491,Thomas Kretschmann,Male,1962-09-08,"Dessau, Germany"
6637,Frank Finlay,Male,1926-08-06,"Farnworth, Lancashire, UK"
6638,Maureen Lipman,Female,1946-05-10,"Hull, Yorkshire, England, UK"
6639,Emilia Fox,Female,1974-07-31,"London, England, UK"
287,Brad Pitt,Male,1963-12-18,"Shawnee, Oklahoma, USA"
192,Morgan Freeman,Male,1937-06-01,"Memphis, Tennessee, USA"
12052,Gwyneth Paltrow,Female,1972-09-27,"Los Angeles, California, USA"
11885,John C. McGinley,Male,1959-08-03,New York City - New York - USA
1979,Kevin Spacey,Male,1959-07-26,"South Orange, New Jersey, USA"
8475,Anatoliy Solonitsyn,Male,1934-08-30,"Bogorodsk, Gorkovskaya oblast, RSFSR, USSR"
1190992,Nikolay Grinko,Male,1920-05-22,"Kherson, USSR (Ukraine)"
13708,Irma Raush,Female,1938-04-21,"Saratov, Russia"
6657,Bibi Andersson,Female,1935-11-11,"Kungsholmen, Stockholm, Stockholms län, Sweden"
11916,Liv Ullmann,Female,1938-12-16,"Tokyo, Japan"
11917,Margaretha Krook,Female,1925-10-15,"Stockholm, Stockholms län, Sweden"
6649,Gunnar Björnstrand,Male,1909-11-13,"Stockholm, Stockholms län, Sweden"
11918,Jörgen Lindström,Male,1951-05-19,"Nacka, Stockholms län, Sweden"
7450,Toshirō Mifune,Male,1920-04-01,"Tsingtao, China (now Qingdao, Shandong, China)"
70131,Tatsuya Nakadai,Male,1932-12-13,"Tokyo, Japan"
34374,Kyôko Kagawa,Female,1931-12-05,"Ibaragi, Japan"
13251,Tatsuya Mihashi,Male,1923-11-02,"Tokyo, Japan"
20830,Isao Kimura,Male,1923-06-22,"Senda, Hiroshima, Japan"
109,Elijah Wood,Male,1981-01-28,"Cedar Rapids, Iowa, USA"
1327,Ian McKellen,Male,1939-05-25,"Burnley, Lancashire, England, UK"
110,Viggo Mortensen,Male,1958-10-20,"Manhattan, New York City, New York, USA"
1328,Sean Astin,Male,1971-02-25,"Santa Monica, California, USA"
882,Liv Tyler,Female,1977-07-01,"New York City, New York, USA"
12259,Vittorio Gassman,Male,1922-09-01,"Genoa, Liguria, Italy"
5676,Marcello Mastroianni,Male,1924-09-28,"Fontana Liri, Latium, Italy"
27442,Renato Salvatori,Male,1934-03-20,"Seravezza, Lucca, Tuscany, Italy"
132190,Totò,Male,1898-02-15,"Napoli, Campania, Italia"
4959,Claudia Cardinale,Female,1938-04-15,"Tunis, French Protectorate Tunisia [now Tunisia]"
6193,Leonardo DiCaprio,Male,1974-11-11,"Los Angeles, California, USA"
24045,Joseph Gordon-Levitt,Male,1981-02-17,"Los Angeles, California, USA"
27578,Ellen Page,Female,1987-02-21,"Halifax, Nova Scotia, Canada"
2524,Tom Hardy,Male,1977-09-15,"Hammersmith, London, England, UK"
3899,Ken Watanabe,Male,1959-10-21,"Koide, Niigata, Japan"
3223,Robert Downey Jr.,Male,1965-04-04,"Manhattan, New York, USA"
74568,Chris Hemsworth,Male,1983-08-11,"Melbourne, Victoria, Australia"
103,Mark Ruffalo,Male,1967-11-22,"Kenosha, Wisconsin, USA"
16828,Chris Evans,Male,1981-06-13,"Sudbury, Massachusetts, USA"
16851,Josh Brolin,Male,1968-02-12,Los Angeles - California - USA
19588,Miyu Irino,Male,1988-02-19,"Tokyo, Japan"
936275,Aoi Yuki,Female,1992-03-27,"Chiba Prefecture, Japan"
1065297,Kensho Ono,Male,1989-10-05,"Fukuoka Prefecture, Japan"
1038,Jodie Foster,Female,1962-11-19,"Los Angeles, California, USA"
4173,Anthony Hopkins,Male,1937-12-31,"Margam, Port Talbot, Glamorgan, Wales, UK"
349,Scott Glenn,Male,1941-01-26,Pittsburgh - Pennsylvania - USA
15854,Ted Levine,Male,1957-05-29,"Parma, Ohio, USA"
16293,Anthony Heald,Male,1944-08-25,New Rochelle - New York - USA
109,Elijah Wood,Male,1981-01-28,"Cedar Rapids, Iowa, USA"
1327,Ian McKellen,Male,1939-05-25,"Burnley, Lancashire, England, UK"
110,Viggo Mortensen,Male,1958-10-20,"Manhattan, New York City, New York, USA"
1328,Sean Astin,Male,1971-02-25,"Santa Monica, California, USA"
882,Liv Tyler,Female,1977-07-01,"New York City, New York, USA"
4959,Claudia Cardinale,Female,1938-04-15,"Tunis, French Protectorate Tunisia [now Tunisia]"
4958,Henry Fonda,Male,1905-05-16,"Grand Island, Nebraska, USA"
4765,Jason Robards,Male,1922-07-26,"Chicago, Illinois, USA"
4960,Charles Bronson,Male,1921-11-03,"Ehrenfeld, Pennsylvania, USA"
4961,Gabriele Ferzetti,Male,1925-03-17,"Rome, Italy"
213619,Vladimir Brichta,Male,1976-03-22,"Diamantina, Minas Gerais, Brazil"
278354,Leandra Leal,Female,1982-09-08,"Rio de Janeiro, Rio de Janeiro, Brazil"
127110,Tainá Müller,Female,1982-06-01,"Porto Alegre, Rio Grande do Sul, Brazil"
139301,Ana Lúcia Torre,Female,1945-04-21,"São Paulo, São Paulo, Brazil"
33161,François Cluzet,Male,1955-09-21,"Paris, France"
78423,Omar Sy,Male,1978-01-20,"Trappes, France"
219708,Audrey Fleurot,Female,1977-07-06,"Paris, France"
19370,Anne Le Ny,Female,1962-12-16,Antony - France
82700,Mario Casas,Male,1986-06-12,"La Coruña, Galicia, Spain"
724188,Bárbara Lennie,Female,1984-04-20,"Madrid, Spagna"
34053,Ana Wagener,Female,1962-01-01,"Las Palmas, Canary Islands, Spain"
1277188,Jacob Tremblay,Male,2006-10-05,"Vancouver, British Columbia, Canada"
1204,Julia Roberts,Female,1967-10-28,آمریگا، جورجیا،  اسمیرنا
887,Owen Wilson,Male,1968-11-18,"Dallas, Texas, USA"
1109976,Izabela Vidovic,Female,2001-05-27,"Chicago, Illinois, U.S."
25503,Mandy Patinkin,Male,1952-11-30,"Chicago, Illinois, USA"
13848,Charlie Chaplin,Male,1889-04-16,"Walworth, London, England, UK"
19426,Jackie Coogan,Male,1914-10-26,"Los Angeles, California, USA"
21301,Edna Purviance,Female,1895-10-21,"Paradise Valley, Nevada, USA"
21306,Albert Austin,Male,1882-12-13,"Birmingham, England"
1108907,Nick Robinson,Male,1995-03-22,"Seattle, Washington, USA"
19536,Josh Duhamel,Male,1972-12-14,"Minot, North Dakota, USA"
9278,Jennifer Garner,Female,1972-04-17,"Houston, Texas, USA"
1636738,Katherine Langford,Female,1996-04-29,"Perth, Australia"
1253199,Alexandra Shipp,Female,1991-07-16,"Phoenix, Arizona, USA"
521,Michael J. Fox,Male,1961-06-09,"Edmonton, Alberta, Canada"
1062,Christopher Lloyd,Male,1938-10-22,"Stamford, Connecticut, USA"
1063,Lea Thompson,Female,1961-05-31,"Rochester, Minnesota, USA"
1064,Crispin Glover,Male,1964-04-20,"New York City, New York, USA"
1065,Thomas F. Wilson,Male,1959-04-15,"Philadelphia, Pennsylvania, USA"
28078,Aleksandr Kaydanovskiy,Male,1946-07-23,"Rostov-na-Donu, Rostovskaya oblast, RSFSR, USSR [now Russia]"
8475,Anatoliy Solonitsyn,Male,1934-08-30,"Bogorodsk, Gorkovskaya oblast, RSFSR, USSR"
1190992,Nikolay Grinko,Male,1920-05-22,"Kherson, USSR (Ukraine)"
28079,Alisa Freyndlikh,Female,1934-12-08,"Leningrad, Russian SFSR, Soviet Union"
120019,Aldo Baglio,Male,1958-09-28,"Palermo, Italy"
120025,Giacomo Poretti,Male,1956-04-26,"Villa Cortese, Italy"
120020,Giovanni Storti,Male,1957-02-20,"Milano, Italy"
7543,Marina Massironi,Female,1963-05-16,"Legnano, Italy"
1333461,Kheiron,Male,1982-11-21,"Tehran, Iran"
50,Catherine Deneuve,Female,1943-10-22,"Paris, France"
18177,André Dussollier,Male,1946-02-17,"Annecy, Haute-Savoie, France"
992869,Ayane Sakura,Female,1994-01-29,"Tokyo, Tokyo, Japan"
1254052,Kouki Uchiyama,Male,1990-08-16,"Saitama Prefecture, Japan"
10297,Matthew McConaughey,Male,1969-11-04,"Uvalde, Texas, USA"
83002,Jessica Chastain,Female,1977-03-24,"Southern California, California, USA"
1813,Anne Hathaway,Female,1982-11-12,"Brooklyn, New York,  USA"
3895,Michael Caine,Male,1933-03-14,"Rotherhithe, London, England, UK"
1893,Casey Affleck,Male,1975-08-12,"Falmouth, Massachusetts, USA"
3151,Jack Lemmon,Male,1925-02-08,"Newton, Massachusetts, USA"
4090,Shirley MacLaine,Female,1934-04-24,"Richmond, Virginia, USA"
4091,Fred MacMurray,Male,1908-08-30,"Kankakee, Illinois, USA"
4093,Ray Walston,Male,1914-12-02,"New Orleans, Louisiana, USA"
4094,Jack Kruschen,Male,1922-03-20,"Winnipeg, Manitoba, Canada"
854,James Stewart,Male,1908-05-20,"Indiana, Pennsylvania, USA"
